id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8.59232E+17,Cómoda habitación cerca del centro de madrid,7716189,Vivi,Tetuán,Berruguete,40.46313734,-3.704131565,Private room,30,1,79,20/03/2024,6.71,1,328,79,NA
8.61479E+17,Habitación Jazmín,508348236,Erwin Antonio,Ciudad Lineal,Ventas,40.43134,-3.65662,Private room,22,2,55,18/02/2024,4.81,3,136,55,NA
8.63441E+17,un encanto apartamento junto metro la latina,447585608,Alex,Centro,Embajadores,40.40962964,-3.704726685,Private room,51,2,25,10/03/2024,2.27,2,350,25,NA
8.61496E+17,Habitación privada confortable.,456315224,Giselle,Carabanchel,Comillas,40.39210793,-3.70920216,Private room,36,2,43,17/03/2024,3.86,2,177,43,NA
8.63471E+17,Económico piso en Madrid centro,143741548,Charm,Centro,Sol,40.41499564,-3.706429271,Entire home/apt,129,1,4,07/07/2023,0.38,3,335,4,NA
8.63473E+17,"Apartamento con 1 habitación, salón con cocina",474661876,Francisco,Tetuán,Berruguete,40.45813102,-3.704896756,Entire home/apt,114,1,28,16/03/2024,2.46,2,162,28,NA
8.61555E+17,Chic & Exclusive stay in Madrid,16055921,Juanita,Centro,Justicia,40.42361795,-3.692231835,Entire home/apt,250,7,0,,,1,18,0,NA
8.63498E+17,Hogar dulce hogar,503495183,Daniel,Villa de Vallecas,Casco Histórico de Vallecas,40.36086957,-3.589605313,Entire home/apt,152,2,8,03/03/2024,0.73,1,329,8,NA
8.61573E+17,Cozy private Apt City Center Sol,240962959,Lior,Centro,Embajadores,40.4103835,-3.699749,Entire home/apt,115,1,14,18/09/2023,1.27,1,0,14,NA
8.63501E+17,New Concept Malasaña,508797136,Maria Estrella,Centro,Universidad,40.42789137,-3.706586145,Entire home/apt,121,4,28,26/02/2024,2.55,1,18,28,NA
8.61599E+17,Habitación muy luminosa y amplia,490902978,María Soledad,Usera,Zofío,40.3847784,-3.7148837,Private room,55,1,4,27/10/2023,0.37,1,267,4,NA
8.6352E+17,"Latina & Lavapiés retreat with patio, NEW",508800184,Lorena,Centro,Embajadores,40.41080439,-3.701277172,Entire home/apt,192,1,26,25/02/2024,2.36,1,354,26,NA
8.616E+17,20 min del centro en Metro. ¡Solo No fumadores!,237612725,Fernando,Villaverde,Los Angeles,40.35198424,-3.702073297,Private room,24,2,42,25/02/2024,3.57,1,305,42,NA
8.61645E+17,Ideal apartamento  con ascensor en la Latina.,61435194,Gala,Centro,Palacio,40.4108624,-3.7108885,Entire home/apt,116,4,36,17/03/2024,3.24,2,171,36,NA
8.63579E+17,Charming apart. central Madrid,91966555,Dennis,Moncloa - Aravaca,Argüelles,40.42126801,-3.715798339,Entire home/apt,147,2,7,04/10/2023,0.64,1,9,7,NA
8.61665E+17,apartamento del oso,17628109,Nazlı,Centro,Embajadores,40.40914998,-3.704162555,Entire home/apt,90,2,23,18/03/2024,1.98,1,107,23,NA
8.61667E+17,Relax a 1' a pie de Manzanares,508413341,Lavinia,Fuencarral - El Pardo,El Pardo,40.5163732,-3.7751741,Entire home/apt,51,90,0,,,1,365,0,NA
8.63601E+17,Habitación cerca del centro!,417616434,Yuliana,San Blas - Canillejas,Amposta,40.42526,-3.6239,Private room,,1,9,09/07/2023,0.8,1,0,9,NA
8.61729E+17,Chic Studio in Central Madrid,154138958,Isai,Centro,Sol,40.4196019,-3.7067856,Entire home/apt,93,3,62,11/03/2024,5.54,2,8,62,NA
